weeks_cols,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2019-02-21,0.6278499999999999,0.584,5.65,-7.4628,0.4,0.077975,0.34999349999999996,0.044385019,0.171285,0.53175,123.48014999999998
2019-02-28,0.5994499999999998,0.558555,5.55,-8.47565,0.3,0.09163000000000002,0.3715134999999999,0.087349441,0.15055999999999997,0.5314650000000001,121.82869999999998
2019-03-07,0.5794999999999999,0.539355,6.0,-8.5518,0.35,0.07638000000000002,0.39946349999999997,0.08734953949999999,0.142705,0.499315,119.52315000000002
2019-03-14,0.5891500000000001,0.5069549999999999,5.85,-9.0155,0.35,0.07683,0.43459349999999997,0.0873515245,0.16052999999999998,0.497115,115.56205
2019-03-21,0.62065,0.5450999999999999,5.0,-7.54895,0.4,0.07266,0.34265850000000003,0.044375726500000004,0.15126,0.5023000000000001,113.83099999999997
2019-03-28,0.6085499999999999,0.5303499999999999,4.95,-7.702749999999999,0.3,0.07218500000000001,0.3691485,0.047185271,0.14808000000000002,0.4822500000000002,115.3252
2019-04-04,0.6182500000000001,0.5439500000000002,4.8,-7.3260000000000005,0.3,0.07125499999999999,0.3591485,0.04717501949999999,0.17547000000000001,0.4831,113.09240000000003
2019-04-11,0.597578947368421,0.5035263157894737,5.578947368421052,-7.978157894736842,0.2631578947368421,0.08669999999999999,0.4014405263157895,0.05811935894736842,0.22028947368421053,0.42036842105263156,115.61394736842105
2019-04-18,0.64545,0.5521499999999999,4.7,-6.95335,0.25,0.088015,0.3467685000000001,0.010913391,0.20383,0.45039999999999997,117.29730000000002
2019-05-16,0.6201000000000001,0.5520000000000002,4.85,-6.976999999999999,0.3,0.10070000000000001,0.36366,0.010912475500000001,0.22639499999999999,0.4266,113.53049999999999
2019-05-23,0.64935,0.5659000000000001,5.25,-7.02605,0.3,0.106715,0.35766000000000003,0.010912218500000001,0.19053499999999998,0.44531500000000007,112.29405
2019-05-30,0.7069999999999999,0.57275,5.65,-7.147399999999999,0.4,0.120505,0.32005500000000003,0.014606462,0.20919499999999996,0.46366499999999994,118.25534999999999
2019-06-06,0.7137,0.58665,6.65,-7.1865,0.45,0.10947500000000002,0.291876,0.0216786285,0.16531000000000004,0.49166499999999996,116.52360000000002
2019-06-13,0.68755,0.58695,6.75,-7.251250000000001,0.45,0.09587499999999999,0.279471,0.021686628500000003,0.17315999999999998,0.49510000000000015,118.8509
2019-06-20,0.6827000000000001,0.6128999999999999,6.55,-6.706799999999999,0.45,0.08306499999999999,0.24438599999999994,0.013766614000000002,0.17684499999999997,0.502,116.65804999999997
2019-06-27,0.6816,0.6093499999999998,6.0,-7.0828500000000005,0.4,0.076395,0.22383599999999998,0.013772017000000001,0.133315,0.49815000000000015,123.30585
2019-07-04,0.6808000000000001,0.6211,6.0,-6.8359000000000005,0.4,0.07796,0.236519,0.006772017,0.126365,0.5083000000000001,122.89694999999998
2019-07-11,0.6497,0.6248999999999999,6.15,-6.834900000000002,0.3,0.08049999999999999,0.273885,0.010174215999999998,0.1257,0.48125000000000007,119.14495000000002
2019-07-18,0.6635263157894736,0.5906842105263157,6.157894736842105,-7.193578947368421,0.3157894736842105,0.06941578947368421,0.2802210526315789,0.03754580736842105,0.15297368421052632,0.4908947368421053,118.23594736842107
2019-07-25,0.6487894736842105,0.621842105263158,6.315789473684211,-7.089736842105264,0.3157894736842105,0.0655736842105263,0.21106842105263157,0.04070435315789473,0.16778421052631579,0.5003157894736843,116.05863157894737
