song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Tyler Herro,Jack Harlow,4DuUwzP4ALMqpquHU0ltAB,"['2020-10-30', '2020-11-06', '2020-11-13', '2020-11-20', '2020-12-04', '2020-12-11']","['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",0.794,0.756,5,-7.16,0,0.136,0.11,0,0.247,0.775,123.066
off the table (with The Weeknd),Ariana Grande,1qKdid2S9fZdSrzLaCcjcF,['2020-10-30'],"['dance pop', 'pop', 'post-teen pop']",0.411,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.382,88.332
זיכרון ישן,Mor,6dmn3JGXRPPSgqalEC0lyr,"['2020-10-30', '2020-11-06']","['contemporary country', 'deep talent show']",0.585,0.457,7,-7.809,0,0.0516,0.345,0,0.321,0.132,143.793
pov,Ariana Grande,3UoULw70kMsiVXxW0L3A33,"['2020-10-30', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18']","['dance pop', 'pop', 'post-teen pop']",0.487,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.173,131.798
shut up,Ariana Grande,12sliObzVzbLbAlDb8eChf,['2020-10-30'],"['dance pop', 'pop', 'post-teen pop']",0.499,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.599,127.698
Risky,Lama Lo,6kGLaZVKLm02635MD6N61v,"['2020-10-30', '2020-11-06', '2020-11-13', '2020-11-20']","['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.817,0.504,11,-5.882,0,0.0427,0.101,0,0.196,0.764,125.982
just like magic,Ariana Grande,1N9hFgcgWYbGINUKjhvcK6,['2020-10-30'],"['dance pop', 'pop', 'post-teen pop']",0.719,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.464,128.006
בזוכרי,Sapir Saban,2RAH0qYyO4s9StOCOkmV1t,['2020-10-30'],['israeli mediterranean'],0.607,0.71,9,-5.734,1,0.0871,0.265,0,0.139,0.306,160.063
safety net (feat. Ty Dolla $ign),Ariana Grande,53Z8fbdVNus9Kiu7tWIBEC,['2020-10-30'],"['dance pop', 'pop', 'post-teen pop']",0.552,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0916,161.884
חיים מאושרים,"Nathan Goshen, Eden Ben Zaken",5bfyO9R6raJctlhVpXzPG4,"['2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']",['israeli pop'],0.673,0.427,6,-7.629,0,0.0458,0.143,0.000112,0.105,0.393,113.556
Hawái - Remix,"Maluma, The Weeknd",0GzuHFG4Ql6DoyxFRnIk3F,"['2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04']","['reggaeton', 'reggaeton colombiano']",0.766,0.788,6,-3.128,0,0.312,0.105,5.81e-06,0.142,0.609,179.984
DÁKITI,"Bad Bunny, Jhay Cortez",47EiUVwUp4C9fGccaPuUCS,"['2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05', '2021-02-12', '2021-02-19', '2021-02-26']","['latin', 'reggaeton', 'trap latino']",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928
כשהכל יגמר,Sarit Hadad,63mWAlcXofeiSPMg2kEMf6,"['2020-11-06', '2020-11-13']","['israeli mediterranean', 'israeli pop', 'mizrahi']",0.52,0.305,8,-7.227,1,0.0384,0.791,0,0.0882,0.53,101.335
SO DONE,The Kid LAROI,5psEZhQu6lukjhavJo4AbC,"['2020-11-06', '2020-11-13', '2020-11-20', '2020-11-27', '2020-12-04', '2020-12-11', '2020-12-18', '2020-12-25', '2021-01-01', '2021-01-08', '2021-01-15', '2021-01-22', '2021-01-29', '2021-02-05']",['australian hip hop'],0.719,0.598,9,-6.254,1,0.077,0.232,0,0.115,0.303,142.592
