song_name,song_artist,track_id,weeks,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Drum,נועה קירל,1KLdNGpZTNhedjfuqeB9GE,"['2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']",['israeli pop'],0.693,0.821,10,-4.606,0,0.0383,0.00377,0,0.0858,0.391,95.028
Never Go Back,Dennis Lloyd,2QrXzOqLCVDRZHkToA0tSR,"['2/28/2019', '3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']","['israeli pop', 'tropical house']",0.421,0.653,9,-4.85,0,0.398,0.0135,0,0.114,0.733,78.6
swan song,dua lipa,0jOnZhF75V68VsBObWx2XO,"['2/28/2019', '3/7/2019', '3/14/2019']","['dance pop', 'pop', 'pop dance', 'uk pop']",0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143
Movement,Hozier,0SFq19lgG4qbQAZaNZ3xhO,"['2/28/2019', '3/7/2019']","['irish singer-songwriter', 'modern rock', 'pop']",0.381,0.502,1,-5.505,0,0.0368,0.16,0.0000698,0.0842,0.147,144.3
מילים שהייתי אומר רק לך,ים רפאלי,3STPNDGQKfFAYVnjaV387a,"['3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019']",['israeli pop'],0.448,0.41,11,-7.092,0,0.0394,0.649,0,0.0969,0.339,139.916
dancing with a stranger,"sam smith, normani",6Qs4SXO9dwPj5GKvVOv8Ki,"['3/7/2019', '3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']","['dance pop', 'pop', 'post-teen pop', 'uk pop']",0.741,0.52,8,-7.513,1,0.0656,0.45,0.00000197,0.222,0.347,102.998
וואלק,Full Trunk,0jbDy7UH81WYedRf4lS4iM,"['3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']",['israeli rock'],0.768,0.865,3,-4.531,0,0.0866,0.0906,0,0.413,0.815,92.013
When The Party's Over,Billie Eilish,43zdsphuZLzwA9k4DJhU0I,"['3/14/2019', '3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']","['electropop', 'pop']",0.367,0.111,4,-14.084,1,0.0972,0.978,0.0000397,0.0897,0.198,82.642
movement,hozier,0SFq19lgG4qbQAZaNZ3xhO,"['3/14/2019', '3/21/2019', '3/28/2019']","['irish singer-songwriter', 'modern rock', 'pop']",0.381,0.502,1,-5.505,0,0.0368,0.16,0.0000698,0.0842,0.147,144.3
home,kobi marimi,0cBPuDA3xUjR4Vh9o7CKy8,"['3/21/2019', '3/28/2019', '4/4/2019']",[],0.541,0.591,2,-6.688,1,0.0336,0.289,0.000431,0.124,0.116,111.676
אוטובוס אחרון לחיפה,"עילי בוטנר, משי קלינשטיין",3GMcMuKeSglT0p5FQAJaKT,"['3/21/2019', '3/28/2019', '4/4/2019']",['israeli pop'],0.569,0.646,0,-5.8,0,0.0449,0.288,0,0.121,0.269,134.152
con calma,daddy yankee,28fMmgw5xSYIDC09gTVYEY,"['3/21/2019', '3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019', '5/16/2019', '5/23/2019', '5/30/2019', '6/6/2019', '6/13/2019', '6/20/2019']","['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",0.737,0.86,8,-2.652,0,0.0594,0.11,0.00000194,0.0574,0.656,93.989
three hearts,alex clare,41WQDnB1uHJEvu14YUUI8x,"['3/21/2019', '3/28/2019', '4/4/2019']",['modern alternative rock'],0.941,0.495,0,-6.1,1,0.0458,0.0858,0.000806,0.0789,0.845,101.026
תגיד לי Je T'aime,עדן בן זקן,2QciwYcdJLtFYda7vIQYgs,['3/28/2019'],"['israeli mediterranean', 'israeli pop', 'mizrahi']",0.378,0.385,3,-8.941,0,0.0421,0.822,0.0562,0.103,0.206,114.912
Sucker,Jonas Brothers,22vgEDb5hykfaTwLuskFGD,"['3/28/2019', '4/4/2019', '4/18/2019', '5/16/2019', '5/23/2019']","['boy band', 'dance pop', 'pop', 'pop dance', 'pop rock', 'post-teen pop']",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958
Giant,"Calvin Harris, Rag'n'Bone Man",3SIv9LIQ63IgXTOkhZV349,['3/28/2019'],"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",0.668,0.186,4,-14.909,1,0.0497,0.981,0.000148,0.107,0.48,153.345
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,4kV4N9D1iKVxx1KLvtTpjS,"['3/28/2019', '4/4/2019', '4/11/2019', '4/18/2019']","['dance pop', 'pop', 'post-teen pop']",0.726,0.554,5,-5.29,0,0.0917,0.0421,0,0.106,0.335,169.999
